"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"406","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey http://t.co/QeKOctpFw9 http://t.co/UvUJ…",FALSE,0,NA,2014-10-16 20:39:36,FALSE,NA,"522849360925577216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SaraAuriletto",111,TRUE,FALSE,NA,NA
"407","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey http://t.co/QeKOctpFw9 http://t.co/UvUJ…",FALSE,0,NA,2014-10-16 20:39:28,FALSE,NA,"522849326305792000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Radarlidok",111,TRUE,FALSE,NA,NA
"408","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey http://t.co/QeKOctpFw9 http://t.co/UvUJ…",FALSE,0,NA,2014-10-16 20:39:20,FALSE,NA,"522849294529732609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nvngorgulu",111,TRUE,FALSE,NA,NA
"409","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey http://t.co/QeKOctpFw9 http://t.co/UvUJ…",FALSE,0,NA,2014-10-16 20:38:46,FALSE,NA,"522849153114591232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CNAPMarcSanchez",111,TRUE,FALSE,NA,NA
"410","RT @LauraKugel: @elfkay @SiobhanLeachman @britishmuseum dinner time for Horus #MuseumOfTheFuture #drinkingaboutmuseums http://t.co/RRzUQtAu…",FALSE,0,NA,2014-10-16 20:38:42,FALSE,NA,"522849133065822208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiobhanLeachman",2,TRUE,FALSE,NA,NA
"411","RT @MajaMaricevic: My favourite idea so far linking objects across museums, their original locations and info (also academic research!)  #M…",FALSE,0,NA,2014-10-16 20:38:19,FALSE,NA,"522849039453548544",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RuthHecht",15,TRUE,FALSE,NA,NA
"412","RT @somaro_s: Diff between collecting objects of the present &amp; collecting digitally. But then so much of our lives are lived online... #mus…",FALSE,0,NA,2014-10-16 20:38:01,FALSE,NA,"522848963196878848",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RuthHecht",10,TRUE,FALSE,NA,NA
"413","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey https://t.co/L8hcJiK0BO http://t.co/m99…",FALSE,0,NA,2014-10-16 20:37:40,FALSE,NA,"522848875934003200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mrdavidboberesq",44,TRUE,FALSE,NA,NA
"414","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey http://t.co/QeKOctpFw9 http://t.co/UvUJ…",FALSE,0,NA,2014-10-16 20:37:37,FALSE,NA,"522848860730052608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IvanGND",111,TRUE,FALSE,NA,NA
"415","RT @britishmuseum: Have your say about the #MuseumOfTheFuture by filling in our quick online survey https://t.co/L8hcJiK0BO http://t.co/m99…",FALSE,0,NA,2014-10-16 20:37:18,FALSE,NA,"522848783202140160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TenzinPenchen",44,TRUE,FALSE,NA,NA
